id,image,nombre,descripcion,precio,marca,categoria,Tipo,Detalles,Bolsillos,Composición,Número de piezas,Género,Corte,Características especiales,Tipo de cierre,Color del armazón,Largo,Color,Estilo,ColorAgrupador,Tipo de producto,Tipo de cuello,Material,Cintura,Tipo de manga,Ocasión,Tipo de estampado
PROD3,PROD3.jpg,Conjunto Nike para Bebé Niña,,Precio de contado,Nike,Bebé,,,,,,Bebé niña,,,,,,,,,Conjunto,,,,,,
PROD14,PROD14.jpg,Conjunto Nike para Bebé Niña,,Precio de contado,Nike,Bebé,,,,,,Bebé niña,,,,,,,,,Conjunto,,,,,,
PROD25,PROD25.jpg,Baberos Impermebale Abeja,,Precio de contado,,Bebé,,,,,1.0,Unisex,,,,,,,,,Babero,,,,,,
PROD37,PROD37.jpg,Jumper Nike para Niña,,Precio de contado,Nike,Bebé,,,,,1.0,Bebé niña,,,,,,,,,Jumper,,,,,,
PROD47,PROD47.jpg,Set de Mamelucos Nike para Bebé Niña,,Precio de contado,Nike,Bebé,,,,,,Bebé niña,,,,,,,,,Conjunto,,,,,,
PROD57,PROD57.jpg,Jumper Nike para Niña,,Precio de contado,Nike,Bebé,,,,,1.0,Bebé niña,,,,,,,,,Jumper,,,,,,
PROD67,PROD67.jpg,Kids Sofi Zapatitos Para Bebé Niña Negro Charol,,Precio de contado,,Bebé,,,,,,Bebé niña,,,,,,Negro,,,,,,,,,
PROD79,PROD79.jpg,Pants y Sudadera para Bebé Niña Baby Colors,,Precio de contado,Baby Colors,Bebé,,,,,1.0,Bebé niña,,,,,,,,,Pantalón,,,,,,
PROD88,PROD88.jpg,Conjunto Baby Colors para Bebé Niña 3 Piezas,,Precio de contado,Baby Colors,Bebé,,,,,3.0,Bebé niña,,,,,,,,,Conjunto,,,,,,
PROD99,PROD99.jpg,Leggings Baby Room Bm2601 color Rosa para Bebé Niña,,Precio de contado,Baby Room,Bebé,,,,,1.0,Bebé niña,,,,,,Rosa,,,Pantalón,,,,,,
PROD111,PROD111.jpg,"Baby Pop's Zapatitos Para Bebé Niña Beige, Incluye Diadema",,Precio de contado,Baby Pop,Bebé,,,,,,Bebé niña,,,,,,Beige,,,,,,,,,
PROD123,PROD123.jpg,Mallas Baby Room BM56 color Rosa con Lunares Negros para Niña,,Precio de contado,Baby Room,Bebé,,,,,1.0,Bebé niña,,,,,,Rosa,,,Pantalón,,,,,,
PROD135,PROD135.jpg,Chaparrin Zapatitos Para Bebé Niña Rosa,,Precio de contado,,Bebé,,,,,,Bebé niña,,,,,,Rosa,,,,,,,,,
PROD147,PROD147.jpg,Mallas Baby Room BM06 color Rosa con Lunares Blancos para Niña,,Precio de contado,Baby Room,Bebé,,,,,1.0,Bebé niña,,,,,,Rosa,,,Pantalón,,,,,,
PROD159,PROD159.jpg,Ensueño Sandalia Para Bebé Niña Latte Rosa,,Precio de contado,,Bebé,,,,,,Bebé niña,,,,,,Rosa,,,,,,,,,
PROD171,PROD171.jpg,Chamarra Baby Colors para Bebé Niña,,Precio de contado,Baby Colors,Bebé,,,,,,Bebé niña,,,,,,,,,,,,,,,
PROD180,PROD180.jpg,Chamarra Baby Colors para Bebé Niña,,Precio de contado,Baby Colors,Bebé,,,,,,Bebé niña,,,,,,,,,,,,,,,
PROD189,PROD189.jpg,Mallas Baby Room Bm45 Unisex,,Precio de contado,Baby Room,Bebé,,,,,1.0,Bebé,,,,,,,,,Pantalón,,,,,,
PROD201,PROD201.jpg,Baby Dolce Sandalia Para Bebé Niña Dorado Rosa,,Precio de contado,,Bebé,,,,,,Bebé niña,,,,,,Rosa,,,,,,,,,
PROD213,PROD213.jpg,Blusa y Short Baby Colors de Algodón para Bebé Niña,,Precio de contado,Baby Colors,Bebé,,,,,,Bebé niña,,,,,,,,,,,,,,,
